Name,Team,Age,G,PA,AB,R,BB,SO,BB/K,OPS,BABIP,OutZoneSwing,InZoneContact,HBP,H,1B,2B,3B,HR,SF,CS,GDP,SH,playerid
Christian Colon,Reds,30,8,8,6,1,0,0,0,1.125,0.5,33.30%,100.00%,2,3,3,0,0,0,0,0,0,0,11145
Ketel Marte,Diamondbacks,25,144,628,569,97,53,86,0.62,0.981,0.342,30.60%,90.60%,4,187,110,36,9,32,2,2,7,0,13613
Keston Hiura,Brewers,22,84,348,314,51,25,107,0.23,0.938,0.402,31.80%,76.90%,8,95,51,23,2,19,1,3,6,0,20003
DJ LeMahieu,Yankees,30,145,655,602,109,46,90,0.51,0.893,0.349,29.60%,91.80%,2,197,136,33,2,26,4,2,14,1,9874
Jose Altuve,Astros,29,124,548,500,89,41,82,0.5,0.903,0.303,33.50%,86.90%,3,149,88,27,3,31,3,5,19,1,5417
Max Muncy,Dodgers,28,141,589,487,101,90,149,0.6,0.889,0.283,20.80%,81.20%,8,122,64,22,1,35,4,1,5,0,13301
Brad Miller,- - -,29,79,170,154,26,15,45,0.33,0.894,0.281,27.30%,79.60%,1,40,20,6,1,13,0,0,2,0,12775
Luis Arraez,Twins,22,92,366,326,54,36,29,1.24,0.838,0.355,26.90%,95.40%,1,109,84,20,1,4,3,2,2,0,18568
Gleyber Torres,Yankees,22,144,604,546,96,48,129,0.37,0.871,0.296,32.60%,83.80%,3,152,88,26,0,38,6,2,10,1,16997
Wilmer Flores,Diamondbacks,27,89,285,265,31,15,31,0.48,0.848,0.332,31.00%,92.70%,4,84,57,18,0,9,1,0,9,0,5827
Tommy Edman,Cardinals,24,92,349,326,59,16,61,0.26,0.85,0.346,32.30%,89.10%,7,99,64,17,7,11,0,1,3,0,19470
Brandon Lowe,Rays,24,82,327,296,42,25,113,0.22,0.85,0.377,33.30%,76.60%,5,80,44,17,2,17,1,0,1,0,18882
Ozzie Albies,Braves,22,160,702,640,102,54,112,0.48,0.852,0.325,38.40%,86.80%,4,189,114,43,8,24,4,4,2,0,16556
Alex Blandino,Reds,26,23,50,36,6,10,14,0.71,0.781,0.348,12.60%,88.90%,2,9,7,1,0,1,2,0,1,0,16271
Tommy La Stella,Angels,30,80,321,292,49,20,28,0.71,0.832,0.282,27.00%,93.60%,3,86,62,8,0,16,0,0,8,0,12371
Mike Moustakas,Brewers,30,143,584,523,80,53,98,0.54,0.845,0.25,32.30%,86.00%,6,133,67,30,1,35,2,0,12,0,4892
Donovan Solano,Giants,31,81,228,215,27,10,49,0.2,0.815,0.409,38.70%,89.00%,1,71,53,13,1,4,2,1,4,0,8623
Aledmys Diaz,Astros,28,69,247,210,36,26,28,0.93,0.823,0.268,24.30%,92.10%,5,57,35,12,1,9,6,0,10,0,15937
Cavan Biggio,Blue Jays,24,100,430,354,66,71,123,0.58,0.793,0.309,17.00%,85.60%,2,83,48,17,2,16,2,0,0,0,19252
Eric Sogard,- - -,33,110,442,396,59,38,63,0.6,0.81,0.316,24.60%,93.20%,2,115,77,23,2,13,3,0,4,3,7927
Whit Merrifield,Royals,30,162,735,681,105,45,126,0.36,0.811,0.35,32.80%,87.20%,5,206,139,41,10,16,4,10,8,0,11281
Domingo Leyba,Diamondbacks,23,21,30,25,6,4,9,0.44,0.807,0.412,44.10%,93.10%,0,7,4,2,1,0,1,0,0,0,16404
David Bote,Cubs,26,127,356,303,47,44,93,0.47,0.785,0.333,29.60%,81.20%,7,78,50,17,0,11,2,1,11,0,14593
Jonathan Villar,Orioles,28,162,714,642,111,61,176,0.35,0.792,0.341,28.70%,81.40%,4,176,114,33,5,24,4,9,8,2,10071
Derek Dietrich,Reds,29,113,306,251,41,28,74,0.38,0.79,0.176,32.40%,80.00%,25,47,18,8,2,19,1,1,2,0,10542
Kolten Wong,Cardinals,28,148,549,478,61,47,83,0.57,0.784,0.321,31.60%,92.10%,13,136,96,25,4,11,5,4,2,6,12532
Shed Long,Mariners,23,42,168,152,21,16,40,0.4,0.787,0.327,29.80%,82.80%,0,40,22,12,1,5,0,3,1,0,16542
Brock Holt,Red Sox,31,87,295,259,38,28,57,0.49,0.771,0.365,27.60%,90.80%,4,77,58,14,2,3,4,0,4,0,9345
Ryan McMahon,Rockies,24,141,539,480,70,56,160,0.35,0.779,0.323,32.40%,78.30%,1,120,73,22,1,24,1,1,14,1,15112
Michael Brosseau,Rays,25,51,142,132,17,7,39,0.18,0.781,0.345,39.70%,83.30%,2,36,23,7,0,6,0,0,3,1,19683
Brian Dozier,Nationals,32,135,482,416,54,61,105,0.58,0.771,0.271,18.60%,84.70%,4,99,59,20,0,20,1,4,11,0,9810
Mike Freeman,Indians,31,75,213,177,27,22,61,0.36,0.752,0.388,29.10%,84.60%,4,49,37,8,0,4,4,2,2,6,11241
Cristhian Adames,Giants,27,10,24,22,1,2,8,0.25,0.739,0.5,32.10%,70.60%,0,7,6,1,0,0,0,0,0,0,6013
Jonathan Schoop,Twins,27,121,464,433,61,20,116,0.17,0.777,0.298,42.10%,81.80%,10,111,64,23,1,23,1,1,13,0,11265
Michael Chavis,Red Sox,23,95,382,347,46,31,127,0.24,0.766,0.347,34.60%,75.50%,4,88,59,10,1,18,0,1,11,0,17321
Adam Frazier,Pirates,27,152,608,554,80,40,75,0.53,0.753,0.306,29.10%,90.90%,9,154,104,33,7,10,1,5,6,4,15223
Greg Garcia,Padres,29,134,372,311,52,53,83,0.64,0.718,0.323,17.70%,94.10%,5,77,56,13,4,4,2,2,4,1,10951
Hanser Alberto,Orioles,26,139,550,524,62,16,50,0.32,0.751,0.318,46.20%,93.60%,4,160,125,21,2,12,3,4,9,3,11902
