Name,Team,Age,G,PA,AB,R,BB,SO,BB/K,OPS,BABIP,OutZoneSwing,InZoneSwing,OutZoneContact,InZoneContact,playerid
Alex Bregman,Astros,25,156,690,554,122,119,83,1.43,1.015,0.281,0.19,0.59,0.77,0.92,17678
Edwin Rios,Dodgers,25,28,56,47,10,9,21,0.43,1.01,0.409,0.29,0.69,0.53,0.81,18316
Anthony Rendon,Nationals,29,146,646,545,117,80,86,0.93,1.01,0.323,0.24,0.70,0.78,0.93,12861
Nolan Arenado,Rockies,28,155,662,588,102,62,93,0.67,0.962,0.312,0.38,0.73,0.70,0.89,9777
Eugenio Suarez,Reds,27,159,662,575,87,70,189,0.37,0.93,0.312,0.27,0.69,0.51,0.85,12552
Kris Bryant,Cubs,27,147,634,543,108,74,145,0.51,0.903,0.331,0.31,0.76,0.60,0.83,15429
Yoan Moncada,White Sox,24,132,559,511,83,40,154,0.26,0.915,0.406,0.33,0.67,0.51,0.83,17232
Miguel Sano,Twins,26,105,439,380,76,55,159,0.35,0.923,0.319,0.28,0.68,0.43,0.77,12164
Josh Donaldson,Braves,33,155,659,549,96,100,155,0.65,0.9,0.292,0.26,0.72,0.62,0.77,5038
Rafael Devers,Red Sox,22,156,702,647,129,48,119,0.4,0.916,0.339,0.41,0.76,0.72,0.83,17350
DJ LeMahieu,Yankees,30,145,655,602,109,46,90,0.51,0.893,0.349,0.30,0.66,0.75,0.92,9874
Nick Solak,Rangers,24,33,135,116,19,15,29,0.52,0.884,0.354,0.26,0.65,0.65,0.88,19294
J.D. Davis,Mets,26,140,453,410,65,38,97,0.39,0.895,0.355,0.28,0.75,0.66,0.79,16219
Justin Turner,Dodgers,34,135,549,479,80,51,88,0.58,0.881,0.304,0.28,0.68,0.76,0.89,5235
Giovanny Urshela,Yankees,27,132,476,442,73,25,87,0.29,0.889,0.349,0.42,0.77,0.73,0.85,10681
Brad Miller,- - -,29,79,170,154,26,15,45,0.33,0.894,0.281,0.28,0.72,0.59,0.80,12775
Yuli Gurriel,Astros,35,144,612,564,85,37,65,0.57,0.884,0.289,0.35,0.69,0.78,0.92,19198
Hunter Dozier,Royals,27,139,586,523,75,55,148,0.37,0.87,0.339,0.30,0.66,0.50,0.90,15117
Tommy Edman,Cardinals,24,92,349,326,59,16,61,0.26,0.85,0.346,0.32,0.68,0.72,0.89,19470
Matt Chapman,Athletics,26,156,670,583,102,73,147,0.5,0.848,0.27,0.25,0.65,0.68,0.84,16505
Tommy La Stella,Angels,30,80,321,292,49,20,28,0.71,0.832,0.282,0.26,0.59,0.82,0.94,12371
Mike Moustakas,Brewers,30,143,584,523,80,53,98,0.54,0.845,0.25,0.34,0.74,0.66,0.86,4892
Brian Anderson,Marlins,26,126,520,459,57,44,114,0.39,0.811,0.305,0.35,0.66,0.59,0.87,18289
Yandy Diaz,Rays,27,79,347,307,53,35,61,0.57,0.816,0.288,0.25,0.73,0.66,0.86,16578
Eduardo Escobar,Diamondbacks,30,158,699,636,94,50,130,0.38,0.831,0.283,0.41,0.71,0.68,0.85,6153
Pablo Sandoval,Giants,32,108,296,272,42,18,67,0.27,0.82,0.304,0.41,0.77,0.69,0.81,5409
David Bote,Cubs,26,127,356,303,47,44,93,0.47,0.785,0.333,0.32,0.67,0.54,0.81,14593
Manny Machado,Padres,26,156,661,587,81,65,128,0.51,0.796,0.274,0.31,0.70,0.63,0.88,11493
Jose Ramirez,Indians,26,129,542,482,68,52,74,0.7,0.806,0.256,0.26,0.64,0.77,0.92,13510
Kyle Seager,Mariners,31,106,443,393,55,44,86,0.51,0.789,0.248,0.28,0.70,0.67,0.88,9785
Asdrubal Cabrera,- - -,33,131,514,447,69,57,103,0.55,0.783,0.294,0.29,0.67,0.71,0.87,4962
Michael Brosseau,Rays,25,51,142,132,17,7,39,0.18,0.781,0.345,0.40,0.71,0.69,0.83,19683
Vladimir Guerrero Jr.,Blue Jays,20,123,514,464,52,46,91,0.51,0.772,0.308,0.32,0.72,0.64,0.87,19611
Scott Kingery,Phillies,25,126,500,458,64,34,147,0.23,0.788,0.337,0.34,0.73,0.54,0.80,17975
Todd Frazier,Mets,33,133,499,447,63,40,106,0.38,0.772,0.284,0.29,0.64,0.61,0.86,785
Mike Freeman,Indians,31,75,213,177,27,22,61,0.36,0.752,0.388,0.28,0.62,0.65,0.85,11241
Ehire Adrianza,Twins,29,84,236,202,34,20,40,0.5,0.765,0.311,0.30,0.71,0.69,0.91,8418
Cristhian Adames,Giants,27,10,24,22,1,2,8,0.25,0.739,0.5,0.32,0.79,0.68,0.71,6013
