Name,Team,Age,G,PA,AB,R,BB,SO,BB/K,OPS,BABIP,OutZoneSwing,InZoneSwing,OutZoneContact,InZoneContact,playerid
Alex Bregman,Astros,25,156,690,554,122,119,83,1.43,1.015,0.281,0.19,0.59,0.77,0.92,17678
Fernando Tatis Jr.,Padres,20,84,372,334,61,30,110,0.27,0.969,0.41,0.32,0.73,0.46,0.82,19709
Xander Bogaerts,Red Sox,26,155,698,614,110,76,122,0.62,0.939,0.338,0.29,0.58,0.69,0.89,12161
Bo Bichette,Blue Jays,21,46,212,196,32,14,50,0.28,0.93,0.368,0.39,0.75,0.71,0.81,19612
Carlos Correa,Astros,24,75,321,280,42,35,75,0.47,0.926,0.303,0.31,0.63,0.66,0.84,14162
Trevor Story,Rockies,26,145,656,588,111,58,174,0.33,0.917,0.361,0.32,0.72,0.60,0.85,12564
Marcus Semien,Athletics,28,162,747,657,123,87,102,0.85,0.892,0.294,0.23,0.69,0.68,0.90,12533
Tim Anderson,White Sox,26,123,518,498,81,15,109,0.14,0.865,0.399,0.45,0.78,0.62,0.90,15172
Gleyber Torres,Yankees,22,144,604,546,96,48,129,0.37,0.871,0.296,0.35,0.76,0.60,0.84,16997
Trea Turner,Nationals,26,122,569,521,96,43,113,0.38,0.85,0.348,0.32,0.69,0.61,0.90,16252
Jorge Polanco,Twins,25,153,704,631,107,60,116,0.52,0.841,0.328,0.29,0.67,0.72,0.91,13152
Francisco Lindor,Indians,25,143,654,598,101,46,98,0.47,0.854,0.291,0.35,0.74,0.76,0.92,12916
Troy Tulowitzki,Yankees,34,5,13,11,1,2,4,0.5,0.853,0.167,0.31,0.69,0.70,0.90,3531
Javier Baez,Cubs,26,138,561,531,89,28,156,0.18,0.847,0.345,0.44,0.74,0.54,0.80,12979
Donovan Solano,Giants,31,81,228,215,27,10,49,0.2,0.815,0.409,0.39,0.66,0.75,0.89,8623
Corey Seager,Dodgers,25,134,541,489,82,44,98,0.45,0.817,0.303,0.31,0.80,0.57,0.87,13624
Kevin Newman,Pirates,25,130,531,493,61,28,62,0.45,0.8,0.333,0.37,0.69,0.77,0.94,17696
Jonathan Villar,Orioles,28,162,714,642,111,61,176,0.35,0.792,0.341,0.31,0.75,0.64,0.81,10071
Seth Mejias-Brean,Padres,28,14,33,30,3,3,9,0.33,0.803,0.263,0.32,0.63,0.50,0.81,13905
Danny Mendick,White Sox,25,16,40,39,6,1,11,0.09,0.787,0.385,0.33,0.61,0.57,0.88,18889
Chris Taylor,Dodgers,28,124,414,366,52,37,115,0.32,0.794,0.344,0.30,0.75,0.48,0.82,13757
Jon Berti,Marlins,29,73,287,256,52,24,73,0.33,0.755,0.36,0.25,0.63,0.61,0.86,12037
Ehire Adrianza,Twins,29,84,236,202,34,20,40,0.5,0.765,0.311,0.30,0.71,0.69,0.91,8418
Myles Straw,Astros,24,56,128,108,27,19,24,0.79,0.721,0.345,0.21,0.56,0.80,0.92,17620
Paul DeJong,Cardinals,25,159,664,583,97,62,149,0.42,0.762,0.259,0.31,0.71,0.61,0.87,18015
Amed Rosario,Mets,23,157,655,616,75,31,124,0.25,0.755,0.338,0.38,0.72,0.64,0.88,15518
Dansby Swanson,Braves,25,127,545,483,77,51,124,0.41,0.748,0.3,0.28,0.70,0.59,0.83,18314
Niko Goodrum,Tigers,27,112,472,423,61,46,138,0.33,0.743,0.338,0.32,0.71,0.54,0.81,12092
Jean Segura,Phillies,29,144,618,576,79,30,73,0.41,0.743,0.302,0.37,0.61,0.78,0.94,5933
Tim Beckham,Mariners,29,88,328,304,39,21,102,0.21,0.753,0.305,0.31,0.66,0.50,0.83,7949
Nick Ahmed,Diamondbacks,29,158,625,556,79,52,113,0.46,0.753,0.28,0.31,0.73,0.64,0.89,12147
Jordy Mercer,Tigers,32,74,271,256,24,13,57,0.23,0.747,0.316,0.29,0.58,0.65,0.89,6547
Willy Adames,Rays,23,152,584,531,69,46,153,0.3,0.735,0.32,0.28,0.70,0.57,0.85,15986
Mauricio Dubon,- - -,24,30,111,106,12,5,20,0.25,0.74,0.305,0.46,0.73,0.75,0.89,16530
Adeiny Hechavarria,- - -,30,84,221,203,34,14,48,0.29,0.742,0.272,0.37,0.74,0.61,0.87,10459
Thairo Estrada,Yankees,23,35,69,64,12,3,15,0.2,0.732,0.283,0.38,0.63,0.60,0.89,16426
Freddy Galvis,- - -,29,147,589,557,67,28,145,0.19,0.734,0.312,0.40,0.73,0.63,0.82,6609
Jose Iglesias,Reds,29,146,530,504,62,20,70,0.29,0.724,0.315,0.47,0.68,0.82,0.91,10231
Nico Hoerner,Cubs,22,20,82,78,13,3,11,0.27,0.741,0.292,0.49,0.71,0.74,0.90,21479
Miguel Rojas,Marlins,30,132,526,483,52,32,62,0.52,0.71,0.314,0.32,0.66,0.74,0.91,7802
Abiatal Avelino,Giants,24,4,8,7,0,1,3,0.33,0.661,0.5,0.32,0.50,0.43,0.80,15496
Elvis Andrus,Rangers,30,147,648,600,81,34,96,0.35,0.707,0.305,0.35,0.62,0.69,0.91,8709
Luis Guillorme,Mets,24,45,70,61,8,7,14,0.5,0.684,0.304,0.24,0.57,0.78,0.86,16451
Dylan Moore,Mariners,26,113,282,247,31,25,93,0.27,0.691,0.29,0.26,0.67,0.62,0.81,18042
Adalberto Mondesi,Royals,23,102,443,415,58,19,132,0.14,0.715,0.357,0.42,0.80,0.45,0.78,13769
Ryan Goins,White Sox,31,52,163,144,13,17,44,0.39,0.681,0.347,0.26,0.59,0.66,0.81,9807
Didi Gregorius,Yankees,29,82,344,324,47,17,53,0.32,0.718,0.237,0.41,0.78,0.67,0.90,6012
Addison Russell,Cubs,25,82,241,215,25,20,58,0.34,0.699,0.28,0.36,0.67,0.58,0.82,14106
J.P. Crawford,Mariners,24,93,396,345,43,43,83,0.52,0.684,0.275,0.23,0.67,0.68,0.86,15491
Luis Urias,Padres,22,71,249,215,27,25,56,0.45,0.655,0.284,0.27,0.62,0.69,0.84,16622
Andrelton Simmons,Angels,29,103,424,398,47,24,37,0.65,0.673,0.277,0.32,0.69,0.74,0.95,10847
Ronny Rodriguez,Tigers,27,84,294,276,29,13,82,0.16,0.69,0.254,0.46,0.68,0.56,0.76,11875
Brandon Crawford,Giants,32,147,560,500,58,53,117,0.45,0.654,0.274,0.32,0.78,0.60,0.82,5343
Johan Camargo,Braves,25,98,248,232,31,15,43,0.35,0.663,0.258,0.41,0.75,0.65,0.87,14950
Willi Castro,Tigers,22,30,110,100,10,6,34,0.18,0.624,0.333,0.42,0.71,0.62,0.78,17338
Wilmer Difo,Nationals,27,43,144,131,15,12,29,0.41,0.628,0.31,0.33,0.79,0.67,0.79,14320
Orlando Arcia,Brewers,24,152,546,494,51,43,109,0.39,0.633,0.253,0.33,0.67,0.67,0.85,13185
Cole Tucker,Pirates,22,56,159,147,16,10,40,0.25,0.626,0.276,0.29,0.75,0.62,0.83,17326
Phil Gosselin,Phillies,30,44,68,65,5,3,16,0.19,0.602,0.347,0.35,0.61,0.70,0.86,10953
Erik Gonzalez,Pirates,27,53,156,142,15,9,37,0.24,0.618,0.333,0.37,0.80,0.50,0.87,13369
Nicky Lopez,Royals,24,103,402,379,44,18,51,0.35,0.601,0.273,0.32,0.70,0.79,0.91,19339
Richard Urena,Blue Jays,23,30,80,74,4,2,23,0.09,0.597,0.353,0.45,0.83,0.56,0.78,16411
Jung Ho Kang,Pirates,32,65,185,172,15,11,60,0.18,0.617,0.184,0.35,0.67,0.52,0.78,17182
Richie Martin Jr.,Orioles,24,120,309,283,29,14,83,0.17,0.581,0.272,0.38,0.71,0.62,0.83,17736
J.T. Riddle,Marlins,27,51,139,132,15,5,42,0.12,0.601,0.226,0.40,0.70,0.54,0.78,17642
Pat Valaika,Rockies,26,40,86,79,11,7,34,0.21,0.572,0.318,0.40,0.76,0.37,0.81,14885
Donnie Walton,Mariners,25,7,19,16,2,3,5,0.6,0.503,0.273,0.38,0.78,0.56,0.71,19314
Jose Rondon,- - -,25,56,157,143,10,11,38,0.29,0.543,0.245,0.31,0.65,0.68,0.82,14140
Brendan Rodgers,Rockies,22,25,81,76,8,4,27,0.15,0.522,0.347,0.40,0.76,0.63,0.78,17907
Humberto Arteaga,Royals,25,41,135,122,11,8,28,0.29,0.487,0.255,0.42,0.72,0.70,0.87,13595
Yadiel Rivera,Marlins,27,34,66,60,8,6,20,0.3,0.474,0.275,0.40,0.78,0.47,0.77,11863
Wilfredo Tovar,Angels,27,31,88,83,5,5,15,0.33,0.492,0.235,0.39,0.70,0.78,0.96,10416
Jack Mayfield,Astros,28,26,65,64,8,1,16,0.06,0.497,0.174,0.42,0.73,0.63,0.90,15402
Carter Kieboom,Nationals,21,11,43,39,4,4,16,0.25,0.491,0.143,0.24,0.49,0.55,0.84,19958
Ronald Torreyes,Twins,26,7,17,16,3,0,3,0,0.423,0.231,0.44,0.68,0.67,0.87,11400
Tyler Saladino,Brewers,29,28,71,65,7,5,26,0.19,0.413,0.162,0.22,0.61,0.41,0.78,10807
Max Moroff,Indians,26,20,35,32,3,2,16,0.13,0.426,0.2,0.37,0.64,0.38,0.77,14556
Eric Stamets,Indians,27,15,48,41,4,5,24,0.21,0.222,0.111,0.37,0.63,0.49,0.73,13795
Ruben Tejada,Mets,29,6,9,9,1,0,3,0,0,0,0.18,0.79,0.33,0.91,5519
Deven Marrero,Marlins,28,5,5,5,0,0,3,0,0,0,0.40,0.71,0.50,0.40,13325
